id,company
47449,DAVIS ENTERTAINMENT
36259,NEW LINE CINEMA
41852,UNITED ARTISTS
9099,IMAGINE ENTERTAINMENT
2021,GRANADA FILM PRODUCTIONS
61752,FOX SEARCHLIGHT PICTURES
10988,MARVIN WORTH PRODUCTIONS
11479,PROCIREP
398959,ROXY FILM
287305,WESTDEUTSCHER RUNDFUNK (WDR)
339428,SENATOR FILM PRODUKTION
10684,TWENTIETH CENTURY FOX FILM CORPORATION
954,PARAMOUNT PICTURES
68445,ICICLE
18989,TRILOGY ENTERTAINMENT GROUP
10801,CONSTANTIN FILM
54285,PARK CHUL-SOO FILMS LTD.
8840,UNIVERSAL PICTURES
11107,HOLLYWOOD PICTURES
16417,DISTANT HORIZONS
10363,TITANUS
161070,GRANADA FILM PRODUCTIONS
10539,WALT DISNEY PICTURES
10543,IMAGINE ENTERTAINMENT
18414,PARAMOUNT PICTURES
47502,NEW LINE CINEMA
11902,KOMUNA
27098,PER HOLST FILMPRODUKTION
25087,FM ENTERTAINMENT INTERNATIONAL N.V.
5801,GOVERNMENT OF WEST BENGAL
896,SATYAJIT RAY PRODUCTIONS
3065,UNIVERSAL PICTURES
2300,WARNER BROS. FAMILY ENTERTAINMENT
8069,PARAMOUNT PICTURES
288173,LIBRA PICTURES
221917,CASTLE ROCK ENTERTAINMENT
8072,FILMSTUDIO
35797,FILMS A2
83857,MIKE LOBELL PRODUCTIONS
33245,OPALA PRODUCTIONS
27281,WALT DISNEY PICTURES
105045,STUDIO BABELSBERG
40001,TRISTAR PICTURES
29621,VAN PEEBLES FILMS
20762,LIVE ENTERTAINMENT
48260,DAN FILMS
12656,FINE LINE FEATURES
38867,NEW LINE CINEMA
25969,NEW LINE CINEMA
44103,FAVORITE FILMS
753,MAURICE MCENDREE PRODUCTIONS
43634,POLYGRAM FILMED ENTERTAINMENT
9103,UNIVERSAL PICTURES
29649,JERSEY FILMS
10990,METRO-GOLDWYN-MAYER (MGM)
8866,TWENTIETH CENTURY FOX FILM CORPORATION
12233,WALT DISNEY PICTURES
23449,CARAVAN PICTURES
36355,UNIVERSAL PICTURES
37667,DISTANT HORIZONS
90148,MIRAMAX FILMS
922,JVC ENTERTAINMENT
11876,FRANCE 2 CINÉMA
52633,CENTAUR PICTURES INC.
11687,CANAL PLUS
9304,COLUMBIA PICTURES CORPORATION
73183,WOOD-THOMAS PICTURES
9100,COLUMBIA PICTURES
20759,TWENTIETH CENTURY FOX FILM CORPORATION
46063,TOUCHSTONE PICTURES
40651,PANDORA FILMPRODUKTION
36915,NEW LINE CINEMA
40507,PO' BOY PRODUCTIONS
9802,HOLLYWOOD PICTURES
25697,THE RANK ORGANISATION
21588,CANAL+
664,UNIVERSAL PICTURES
11867,PROPAGANDA FILMS
47119,FRANCE 2 CINÉMA
314352,ROXY FILM
9323,BANDAI VISUAL COMPANY
10280,PARAMOUNT PICTURES
10535,HOLLYWOOD PICTURES
124613,RENEGADE FILMS
532,AARDMAN ANIMATIONS
26744,ENTERPRISE PRODUCTIONS
16299,NEW LINE CINEMA
10547,LIVE ENTERTAINMENT
245268,METRO-GOLDWYN-MAYER (MGM)
935,HAWK FILMS
55613,THE CANADIAN COUNCIL
41007,MIRAMAX FILMS
35645,UNIVERSAL PICTURES
110465,METRO-GOLDWYN-MAYER (MGM)
255546,CHANNEL FOUR FILMS
40751,BEIJING FILM STUDIO
11101,ROYAL FILM
9826,PARAMOUNT PICTURES
9879,COLUMBIA PICTURES
22621,AVAILABLE LIGHT PRODUCTIONS
7095,AMERICAN ZOETROPE
